id,title,description,img,link
1,< Codr />,"Code Execution Platform for multiple languages","https://cdn.jsdelivr.net/gh/devicons/devicon@latest/icons/docker/docker-original.svg",https://codr-sandbox.vercel.app/
2,Dynamic Calling Card,"Interactive business cards","https://cdn.jsdelivr.net/gh/devicons/devicon@latest/icons/p5js/p5js-original.svg",https://editor.p5js.org/MattFrayser/full/rS4tq2JQu
3,AI Chatbot,"Satirical take on AI","https://cdn.jsdelivr.net/gh/devicons/devicon@latest/icons/python/python-original.svg",https://useless-ai.vercel.app/
4,My Taskboard,"New way to track your life","https://cdn.jsdelivr.net/gh/devicons/devicon@latest/icons/react/react-original.svg",https://appetize.io/embed/pervthlacse7rmjfnafyrnhdoy?device=iphone15pro&launchUrl=exp%3A%2F%2Fu.expo.dev%2F933fd9c0-1666-11e7-afca-d980795c5824%3Fruntime-version%3Dexposdk%253A50.0.0%26channel-name%3Dproduction%26snack%3D%2540mattfrayser%252Fmy-task-board%26snack-channel%3DkdnXaCRUVx&params=%7B%22EXDevMenuDisableAutoLaunch%22%3Atrue%2C%22EXKernelDisableNuxDefaultsKey%22%3Atrue%7D&appearance=light&deviceColor=black&scale=auto&orientation=portrait&centered=both
5,Image Recognition,"YOLOv8","https://cdn.jsdelivr.net/gh/devicons/devicon@latest/icons/pytorch/pytorch-original.svg",https://github.com/MattFrayser/where-is-waldo
6,Math Visualizer,"Visualizations of maths most complex problems","https://cdn.jsdelivr.net/gh/devicons/devicon@latest/icons/numpy/numpy-original.svg",https://mattfrayser.github.io/math-visualizer/
7,AGIE STEM Inclusivity Database,"Built to increase diversity","https://cdn.jsdelivr.net/gh/devicons/devicon@latest/icons/nodejs/nodejs-original-wordmark.svg",https://github.com/VCU-CS-Capstone/CS-24-333-Developing-a-central-hub-for-gender-outcome-programs-in-STEMM
8,Streaming Website,"Mock Streaming Site","https://cdn.jsdelivr.net/gh/devicons/devicon@latest/icons/nextjs/nextjs-original.svg",https://github.com/MattFrayser/cmsc508-Project
